id,kdocument_id,representation_type,s3_bucket,s3_key,file_format,content_length,checksum,page_count,token_count,created_at,updated_at
47,27290,DOCLING,primer-production-librarian-documents,documents/27290/representations/docling/doc_27290.txt,txt,132649,ad9deac765b37153f8a7947008bb8f35b719f20bc54c25d73c4b5c9cd7b4ce36,,,2025-10-18 10:08:59.585906+00,2025-10-18 10:08:59.585919+00
48,27290,DOCLING_IMG,primer-production-librarian-documents,documents/27290/representations/docling_img/doc_27290.txt,txt,132792,b824e22943a025dd602c931067c45269817e20c664560a7d37eb8b85572c387d,,,2025-10-18 10:08:59.781865+00,2025-10-18 10:08:59.781877+00
49,27335,DOCLING,primer-production-librarian-documents,documents/27335/representations/docling/doc_27335.txt,txt,51743,56371c441dc63523a8cd4b25c99902f47b6395c7bf533159690dd5a1b295efb1,,,2025-10-18 10:08:59.875103+00,2025-10-18 10:08:59.875121+00
50,27335,DOCLING_IMG,primer-production-librarian-documents,documents/27335/representations/docling_img/doc_27335.txt,txt,52420,504c1e0cd9d0a9e9abc85bfcd60292f7ae4f04b628832262ae12585f150b6134,,,2025-10-18 10:08:59.969331+00,2025-10-18 10:08:59.969342+00
51,27336,DOCLING,primer-production-librarian-documents,documents/27336/representations/docling/doc_27336.txt,txt,13796,0f932a5e41c017baae914916ab23ea85bfe3cc49bfc32933db6222d1ea88890c,,,2025-10-18 10:09:00.049625+00,2025-10-18 10:09:00.04964+00
52,27336,DOCLING_IMG,primer-production-librarian-documents,documents/27336/representations/docling_img/doc_27336.txt,txt,13939,42b7907b3d9ca18fa10e8df53a1356f5745c51210eaa62c8f08ee048f0ace7ad,,,2025-10-18 10:09:00.125209+00,2025-10-18 10:09:00.125221+00
53,27337,DOCLING,primer-production-librarian-documents,documents/27337/representations/docling/doc_27337.txt,txt,143852,e703641e90953053b46dcf1b96f54db6fd8c7d47e358a32ec31dd40807fe8883,,,2025-10-18 10:09:00.260672+00,2025-10-18 10:09:00.260683+00
54,27337,DOCLING_IMG,primer-production-librarian-documents,documents/27337/representations/docling_img/doc_27337.txt,txt,148482,3ddc2f478c9ac00254ee669083a828a1d9382b0e36300c8bd65eaf1493084f13,,,2025-10-18 10:09:00.421998+00,2025-10-18 10:09:00.42201+00
55,27338,DOCLING,primer-production-librarian-documents,documents/27338/representations/docling/doc_27338.txt,txt,56989,9c2741a5f7103ebae6a34e8ce06b18186f6e731c750f38dfed0af70383f980a5,,,2025-10-18 10:09:00.520859+00,2025-10-18 10:09:00.520869+00
56,27338,DOCLING_IMG,primer-production-librarian-documents,documents/27338/representations/docling_img/doc_27338.txt,txt,57132,a23ba9764c0c15818045f3129cd5a0c608a725fef2122b8df1051f533e5d2374,,,2025-10-18 10:09:00.615051+00,2025-10-18 10:09:00.615065+00
57,27339,DOCLING,primer-production-librarian-documents,documents/27339/representations/docling/doc_27339.txt,txt,217893,03963359653280b2e83e2edd0f6b68e7bb5b1a38efe66fc4b13f745692b9dc99,,,2025-10-18 10:09:00.792484+00,2025-10-18 10:09:00.792499+00
58,27339,DOCLING_IMG,primer-production-librarian-documents,documents/27339/representations/docling_img/doc_27339.txt,txt,229322,e4576724b1b7bfc07e2d0876b057ede6ee6ad5d1154ee7c75d66da5e994f268c,,,2025-10-18 10:09:00.981839+00,2025-10-18 10:09:00.981854+00
59,27340,DOCLING,primer-production-librarian-documents,documents/27340/representations/docling/doc_27340.txt,txt,1071094,222c4c7bb4926a0d2849e658029a182eeca60b772f069cca4d05e189dc471371,,,2025-10-18 10:09:01.554464+00,2025-10-18 10:09:01.554474+00
60,27340,DOCLING_IMG,primer-production-librarian-documents,documents/27340/representations/docling_img/doc_27340.txt,txt,1092383,714ed6025ef4fa7455dc0bbd651d68386c04bd8945847f7ee443ddd1c29cd9d6,,,2025-10-18 10:09:02.161544+00,2025-10-18 10:09:02.161553+00
61,27341,DOCLING,primer-production-librarian-documents,documents/27341/representations/docling/doc_27341.txt,txt,59624,c4956808f9ff1b96f1deb392ebb779c8044d2f47d007750906ef8baa4be2fb79,,,2025-10-18 10:09:02.268032+00,2025-10-18 10:09:02.268036+00
62,27341,DOCLING_IMG,primer-production-librarian-documents,documents/27341/representations/docling_img/doc_27341.txt,txt,60522,4febe04de6d8a3479564c74b756a1fc751e5202931b83b45eacda85903f18261,,,2025-10-18 10:09:02.53596+00,2025-10-18 10:09:02.53597+00
63,27342,DOCLING,primer-production-librarian-documents,documents/27342/representations/docling/doc_27342.txt,txt,52762,b0f55df2deb068ab2c0a63478b80e39de2c6e20ec312f1032b8ad7e06c19f9d3,,,2025-10-18 10:09:02.632494+00,2025-10-18 10:09:02.632506+00
64,27342,DOCLING_IMG,primer-production-librarian-documents,documents/27342/representations/docling_img/doc_27342.txt,txt,53612,659e273cdd7cd9618a898af9d0052f689b2fcf5aff6f1a4e226fc852ce70f293,,,2025-10-18 10:09:02.716684+00,2025-10-18 10:09:02.716691+00
65,27343,DOCLING,primer-production-librarian-documents,documents/27343/representations/docling/doc_27343.txt,txt,183772,ff71af90a036465aa8c4aface7f74a23e3a9670ae16fc54e73a3b9d7a605b527,,,2025-10-18 10:09:02.871821+00,2025-10-18 10:09:02.871836+00
66,27343,DOCLING_IMG,primer-production-librarian-documents,documents/27343/representations/docling_img/doc_27343.txt,txt,195877,67ac0bcdc02e0cea0877783e2548af169083698cff16c1fb00802c53ed6d3d1b,,,2025-10-18 10:09:03.054796+00,2025-10-18 10:09:03.05481+00
